tipo,#,PMG,participacao_municipal,patrimonio_liquido,resultados_liquidos,dividas_a_pagar,financiamento_e_outros,indice_divida_total,dividas_a_receber,#_trabalhadores_2020,#_habitantes
CM,M,Abrantes,-,186511059,1481556,1153503,2299034,"14,4%",9149406,511,34336
SMA,,SMA de Abrantes,100%,14160976,5533,0,2271245,-,909388,99,-
CM,M,Águeda,-,91152044,1148645,298588,6613988,"21,5%",10802526,472,46131
CM,P,Aguiar da Beira,-,57283708,27362,0,722516,"10,7%",1218109,103,5231
CM,P,Alandroal,-,8955723,-1392430,15372107,1223872,"195,6%",1335084,198,5015
CM,M,Albergaria-a-Velha,-,64504849,42926,4815799,2605570,"49,6%",4776001,240,24842
CM,M,Albufeira,-,259888564,-4198176,6253973,11178209,"20,9%",31391277,1171,44168
CM,P,Alcácer do Sal,-,64950021,7836332,2394350,2565366,"28,6%",4909486,423,11113
CM,P,Alcanena,-,55118209,383674,4469602,1788948,"55,2%",3469444,178,12473
EM SA,,AQUANENA,100%,16156856,219881,265243,2792017,-,1138084,-,-
CM,M,Alcobaça,-,110057017,463285,838828,4627891,"15,4%",1619105,351,54973
SMAS,,SMAS - Alcobaça,100%,11975914,633001,0,1337950,-,1516705,53,-
CM,P,Alcochete,-,63176571,298178,3482471,4828254,"45,2%",5387017,424,19145
CM,P,Alcoutim,-,40755758,-162880,2045181,1156501,"37,8%",2495226,184,2523
CM,M,Alenquer,-,87101250,-422603,2493243,5176624,"27,5%",10278152,584,44445
CM,P,Alfândega da Fé,-,45219828,-1557046,14510561,1732143,"205,1%",886486,201,4324
CM,P,Alijó,-,46719886,1362823,9404949,2403561,"105,3%",1906615,156,10486
CM,P,Aljezur,-,27561078,749373,1364310,988546,"21,9%",2158280,205,6045
CM,P,Aljustrel,-,39027761,-621846,2986880,4466191,"73,5%",2166927,203,8874
CM,G,Almada,-,577028539,7472273,17944286,10335195,"27,7%",42097159,1748,177268
SMAS,,SMAS de Almada,100%,46368544,3080036,2056545,6868729,-,6458031,456,-
EM SA,,"WEMOB - EM, S.A",100%,1026301,-156395,183080,437220,-,265478,-,-
CM,P,Almeida,-,47163068,329887,820109,1169726,"16,2%",916837,145,5887
CM,M,Almeirim,-,63279113,715416,6725914,1402046,"57,3%",1408202,275,22016
CM,P,Almodôvar,-,62500942,-774069,3632040,1606602,"42,7%",5602925,264,6713
CM,P,Alpiarça,-,54668566,-163967,4667693,1115828,"88,4%",1400158,178,6976
CM,P,Alter do Chão,-,39848821,74098,328901,650207,"14,0%",1389761,130,3044
CM,P,Alvaiázere,-,46546581,-449169,1365419,928883,"33,7%",1155520,77,6239
CM,P,Alvito,-,23049180,-403801,1366232,618543,"42,0%",426543,122,2282
CM,G,Amadora,-,449632693,360599,8615468,11781871,"20,3%",25106830,1730,171500
SIMAR,,SIMAS de Oeiras e Amadora,100%,206602531,1399258,0,14236125,-,19138532,445,-
EM,,Amadora Inovation,100%,417502,33213,0,90010,-,230607,-,-
CM,M,Amarante,-,119646506,1176459,20931594,4495801,"85,3%",6066417,757,52119
CM,P,Amares,-,45159043,2252100,4456604,2068125,"46,6%",3361860,213,18595
CM,M,Anadia,-,108769005,-1201001,2229295,2210411,"22,4%",3395528,288,27535
CM,M,Angra do Heroísmo,-,161500607,5278137,7923458,2871393,"60,7%",8035227,351,33779
EIM,,TERAMB,60%,26986156,44575,1850000,4951961,-,918718,-,-
CM,P,Ansião,-,48656791,-875239,2730352,844647,"41,5%",1748342,115,11645
CM,M,Arcos de Valdevez,-,119400858,-1865254,4881769,5256138,"42,3%",2620838,289,20720
CM,P,Arganil,-,56706758,881254,4178173,2979047,"55,2%",2360786,213,11065
CM,P,Armamar,-,30381730,737084,4496103,959595,"71,6%",1029268,185,5678
CM,M,Arouca,-,83265129,2488363,768977,1844304,"14,7%",2489662,189,21154
CM,P,Arraiolos,-,45014782,-57195,2730757,1495219,"48,5%",963908,159,6619
CM,P,Arronches,-,39197024,678810,83766,666218,"8,8%",41391,95,2789
CM,P,Arruda dos Vinhos,-,29419473,-51379,4097135,2946739,"61,9%",4130322,266,13992
CM,M,Aveiro,-,246500115,9864870,62347001,14997391,"130,3%",4117408,896,80978
EM,,Aveiro Expo - Parque de Exposições,51%,si,si,si,si,-,si,-,-
CM,P,Avis,-,43012238,-2328199,702805,979011,"23,3%",727157,186,3812
CM,M,Azambuja,-,56568342,-2182653,5674966,2775207,"39,2%",5548953,407,21422
CM,P,Baião,-,62585257,551279,4818957,3136167,"51,9%",3549063,353,17535
CM,G,Barcelos,-,180964015,5114815,3243435,10127075,"21,7%",15715872,802,116766
EM,,EMEC - EM de Educação e Cultura,100%,-1019922,-135149,1250000,550622,-,570338,-,-
CM,P,Barrancos,-,10553445,-129972,511689,445276,"25,8%",475436,93,1440
CM,M,Barreiro,-,117655601,845010,23381656,12798719,"83,3%",15819122,792,78359
SIMAS,,SMTC - Transp. Colectivos do Barreiro,100%,2246262,-579394,11260740,2160394,-,830007,si,-
CM,P,Batalha,-,63341479,-754821,2097324,2414435,"35,4%",3556224,227,15558
